epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,106.587,0.32728,0.30732,0.85909,0.9908,1,0.995,0.97486,0.29766,0.27292,0.81891,0.000544776,0.000544776,0.000544776
70,107.461,0.27996,0.29182,0.83203,0.98994,1,0.995,0.97709,0.30999,0.30275,0.82042,0.000528272,0.000528272,0.000528272
71,108.287,0.31754,0.31496,0.8607,0.98994,1,0.995,0.97709,0.30999,0.30275,0.82042,0.000511769,0.000511769,0.000511769
72,109.154,0.31956,0.31476,0.84819,0.98704,1,0.995,0.97181,0.30854,0.28642,0.81477,0.000495266,0.000495266,0.000495266
73,109.991,0.34922,0.3437,0.85475,0.98704,1,0.995,0.97181,0.30854,0.28642,0.81477,0.000478762,0.000478762,0.000478762
74,111.148,0.30634,0.3021,0.85738,0.98609,1,0.995,0.97186,0.29587,0.27279,0.81048,0.000462259,0.000462259,0.000462259
75,112.028,0.33048,0.30257,0.82801,0.98609,1,0.995,0.97186,0.29587,0.27279,0.81048,0.000445756,0.000445756,0.000445756
76,112.907,0.32174,0.33243,0.81734,0.98791,1,0.995,0.97477,0.28407,0.24948,0.80996,0.000429253,0.000429253,0.000429253
77,113.843,0.30163,0.29594,0.83302,0.98791,1,0.995,0.97477,0.28407,0.24948,0.80996,0.000412749,0.000412749,0.000412749
78,114.74,0.3051,0.31195,0.8549,0.98818,1,0.995,0.97582,0.26843,0.25072,0.81091,0.000396246,0.000396246,0.000396246
79,115.576,0.29422,0.31828,0.82558,0.98818,1,0.995,0.97582,0.26843,0.25072,0.81091,0.000379743,0.000379743,0.000379743
80,116.414,0.28199,0.30376,0.81998,0.98775,1,0.995,0.97586,0.25607,0.24601,0.81103,0.000363239,0.000363239,0.000363239
81,117.27,0.26269,0.28175,0.81348,0.98775,1,0.995,0.97586,0.25607,0.24601,0.81103,0.000346736,0.000346736,0.000346736
82,118.141,0.27552,0.2877,0.82059,0.98559,1,0.995,0.97579,0.24455,0.25434,0.80931,0.000330233,0.000330233,0.000330233
83,118.972,0.24078,0.27425,0.83438,0.98559,1,0.995,0.97579,0.24455,0.25434,0.80931,0.000313729,0.000313729,0.000313729
84,119.839,0.28779,0.31084,0.84225,0.98293,1,0.995,0.97279,0.23899,0.24199,0.80896,0.000297226,0.000297226,0.000297226
85,120.685,0.27576,0.29187,0.80828,0.98293,1,0.995,0.97279,0.23899,0.24199,0.80896,0.000280723,0.000280723,0.000280723
86,121.521,0.29298,0.30929,0.85747,0.98178,1,0.995,0.9828,0.21654,0.22501,0.80615,0.00026422,0.00026422,0.00026422
87,122.4,0.27573,0.28698,0.83437,0.98178,1,0.995,0.9828,0.21654,0.22501,0.80615,0.000247716,0.000247716,0.000247716
88,123.328,0.29772,0.29727,0.86399,0.98345,1,0.995,0.9761,0.20574,0.19845,0.80377,0.000231213,0.000231213,0.000231213
89,124.145,0.26153,0.29086,0.84091,0.98345,1,0.995,0.9761,0.20574,0.19845,0.80377,0.00021471,0.00021471,0.00021471
90,125.002,0.30179,0.29756,0.8578,0.9851,1,0.995,0.97609,0.21534,0.18722,0.80464,0.000198206,0.000198206,0.000198206
91,125.872,0.23455,0.27763,0.74473,0.9851,1,0.995,0.97609,0.21534,0.18722,0.80464,0.000181703,0.000181703,0.000181703
92,126.689,0.26617,0.29484,0.81804,0.98626,1,0.995,0.96696,0.23287,0.18795,0.80574,0.0001652,0.0001652,0.0001652
93,127.5,0.22934,0.24038,0.78915,0.98626,1,0.995,0.96696,0.23287,0.18795,0.80574,0.000148696,0.000148696,0.000148696
94,128.338,0.21718,0.25406,0.7925,0.98674,1,0.995,0.97609,0.23974,0.19464,0.8057,0.000132193,0.000132193,0.000132193
95,129.127,0.20913,0.24474,0.77107,0.98674,1,0.995,0.97609,0.23974,0.19464,0.8057,0.00011569,0.00011569,0.00011569
96,129.94,0.20114,0.23147,0.76049,0.9863,1,0.995,0.97696,0.23842,0.19585,0.80673,9.91865e-05,9.91865e-05,9.91865e-05
97,130.738,0.20266,0.26178,0.77696,0.9863,1,0.995,0.97696,0.23842,0.19585,0.80673,8.26832e-05,8.26832e-05,8.26832e-05
98,131.578,0.22158,0.27627,0.80703,0.98589,1,0.995,0.97713,0.23508,0.19718,0.80688,6.61799e-05,6.61799e-05,6.61799e-05
99,132.37,0.22207,0.24103,0.77262,0.98589,1,0.995,0.97713,0.23508,0.19718,0.80688,4.96766e-05,4.96766e-05,4.96766e-05
100,133.206,0.20196,0.23539,0.77588,0.98569,1,0.995,0.97728,0.23381,0.19733,0.80694,3.31733e-05,3.31733e-05,3.31733e-05
